address,port
158.69.25.71,5555
167.114.210.141,5555
158.69.25.62,7777
158.69.25.77,7777
158.69.25.71,7777
167.114.210.141,7777
158.69.25.62,80
158.69.25.77,80
158.69.25.71,80
167.114.210.141,80
158.69.25.62,443
158.69.25.77,443
158.69.25.71,443
167.114.210.141,443
158.69.25.62,3333
158.69.25.77,3333
158.69.25.71,3333
167.114.210.141,3333
163.172.226.218,3333
212.129.13.124,3333
163.172.226.194,3333
163.172.207.69,3333
163.172.226.128,3333
163.172.226.131,3333
163.172.226.114,3333
163.172.207.198,3333
163.172.204.219,3333
163.172.226.201,3333
163.172.207.71,3333
163.172.226.137,3333
163.172.226.218,6666
212.129.13.124,6666
163.172.226.194,6666
163.172.207.69,6666
163.172.226.128,6666
163.172.226.131,6666
163.172.226.114,6666
163.172.207.198,6666
163.172.204.219,6666
163.172.226.201,6666
163.172.207.71,6666
163.172.226.137,6666
163.172.226.218,7777
212.129.13.124,7777
163.172.226.194,7777
163.172.207.69,7777
163.172.226.128,7777
163.172.226.131,7777
163.172.226.114,7777
163.172.207.198,7777
163.172.204.219,7777
163.172.226.201,7777
163.172.207.71,7777
163.172.226.137,7777
163.172.226.218,80
212.129.13.124,80
163.172.226.194,80
163.172.207.69,80
163.172.226.128,80
163.172.226.131,80
163.172.226.114,80
163.172.207.198,80
163.172.204.219,80
163.172.226.201,80
163.172.207.71,80
163.172.226.137,80
163.172.226.218,8080
212.129.13.124,8080
163.172.226.194,8080
163.172.207.69,8080
163.172.226.128,8080
163.172.226.131,8080
163.172.226.114,8080
163.172.207.198,8080
163.172.204.219,8080
163.172.226.201,8080
163.172.207.71,8080
163.172.226.137,8080
163.172.226.218,443
212.129.13.124,443
163.172.226.194,443
163.172.207.69,443
163.172.226.128,443
163.172.226.131,443
163.172.226.114,443
163.172.207.198,443
163.172.204.219,443
163.172.226.201,443
163.172.207.71,443
163.172.226.137,443
163.172.226.218,8888
212.129.13.124,8888
163.172.226.194,8888
163.172.207.69,8888
163.172.226.128,8888
163.172.226.131,8888
163.172.226.114,8888
163.172.207.198,8888
163.172.204.219,8888
163.172.226.201,8888
163.172.207.71,8888
163.172.226.137,8888
163.172.226.218,9999
212.129.13.124,9999
163.172.226.194,9999
163.172.207.69,9999
163.172.226.128,9999
163.172.226.131,9999
163.172.226.114,9999
